From,To,Distance(m),BaseSpeed,BoostedSpeed,BaseDwell,ActualDwell,Runtime,SafeHeadway,ActualHeadway,NormalHeadway7Trains,ActionTaken
GAIMUKH,GOWNIWADA,1502.23,35,35,45,68,198.267,17.4286,38.0381,38.0381,BOOST_APPLIED
GOWNIWADA,KASARVADVALI,1385.39,35,38,45,77,168.705,17.4286,35.1007,37.1665,BOOST_APPLIED
KASARVADVALI,VIJAYGARDEN,1024.04,35,38,30,41,125.246,17.4286,23.7495,25.2831,BOOST_APPLIED
VIJAYGARDEN,DONGARI PADA,1198.78,35,35,30,39,158.9,17.4286,28.2714,28.2714,NO_BOOST
DONGARI PADA,TIKUJI NI WADI,1226.69,35,38,30,53,149.71,17.4286,28.9586,30.7918,BOOST_APPLIED
TIKUJI NI WADI,MANPADA,758.992,30,35,30,43,100.735,20,20.5335,22.932,BOOST_APPLIED
MANPADA,KAPURBAWDI,815.824,30,30,30,39,126.411,20,23.6302,23.6302,NO_BOOST
KAPURBAWDI,MAJIWADA,1453.71,35,38,45,71,176.845,17.4286,35.4064,37.5719,BOOST_APPLIED
MAJIWADA,CADBUARY JUNCTION,824.707,30,30,30,26,127.797,20,21.971,21.971,NO_BOOST
