Section,Operational Headway (s),Operational Headway (min),Safe Headway (s),Safe Headway (min)
GAIMUKH->GOWNIWADA, nan,nan, 38,0.633333
GOWNIWADA->KASARVADVALI, nan,nan, 44,0.733333
KASARVADVALI->VIJAYGARDEN, nan,nan, 44,0.733333
VIJAYGARDEN->DONGARI PADA, nan,nan, 44,0.733333
DONGARI PADA->TIKUJI NI WADI, nan,nan, 44,0.733333
TIKUJI NI WADI->MANPADA, nan,nan, 44,0.733333
MANPADA->KAPURBAWDI, nan,nan, 44,0.733333
KAPURBAWDI->MAJIWADA, nan,nan, 44,0.733333
MAJIWADA->CADBUARY JUNCTION, nan,nan, 44,0.733333
